Member_ID,Name,Date,Attendance,Revenue,Class
1001,Member_1,2026-02-13,1,389,Crossfit
1001,Member_1,2026-01-06,1,349,Zumba
1001,Member_1,2026-02-18,1,374,Zumba
1001,Member_1,2026-02-14,1,798,Yoga
1001,Member_1,2026-02-12,1,700,Cardio
1001,Member_1,2026-02-18,1,763,Strength
1001,Member_1,2026-02-21,1,783,Crossfit
1001,Member_1,2026-01-27,1,322,Zumba
1001,Member_1,2026-01-11,1,561,Cardio
1002,Member_2,2026-01-26,1,539,Strength
1002,Member_2,2026-02-06,1,750,Strength
1002,Member_2,2026-01-31,1,495,Cardio
1002,Member_2,2026-01-27,1,493,Zumba
1002,Member_2,2026-01-26,1,797,Strength
1002,Member_2,2026-02-16,1,719,Yoga
1002,Member_2,2026-01-05,1,714,Cardio
1002,Member_2,2026-01-02,1,659,Crossfit
1002,Member_2,2026-02-05,1,502,Strength
1002,Member_2,2026-01-01,1,738,Strength
1002,Member_2,2026-01-04,1,407,Zumba
1003,Member_3,2026-02-01,1,570,Cardio
1003,Member_3,2026-01-01,1,438,Strength
1003,Member_3,2026-02-23,1,617,Zumba
1003,Member_3,2026-02-08,1,714,Zumba
1003,Member_3,2026-02-14,1,590,Zumba
1003,Member_3,2026-01-17,1,426,Cardio
1004,Member_4,2026-01-21,1,621,Strength
1004,Member_4,2026-02-06,1,354,Zumba
1004,Member_4,2026-01-17,1,302,Cardio
1004,Member_4,2026-01-17,1,424,Cardio
1004,Member_4,2026-02-26,1,416,Crossfit
1004,Member_4,2026-01-20,1,655,Strength
1004,Member_4,2026-01-08,1,454,Zumba
1004,Member_4,2026-02-09,1,370,Strength
1004,Member_4,2026-02-15,1,607,Strength
1004,Member_4,2026-02-27,1,382,Cardio
1004,Member_4,2026-02-06,1,416,Cardio
1004,Member_4,2026-01-04,1,352,Cardio
1004,Member_4,2026-01-24,1,357,Crossfit
1004,Member_4,2026-02-28,1,523,Cardio
1004,Member_4,2026-02-05,1,363,Cardio
1005,Member_5,2026-01-09,1,686,Strength
1005,Member_5,2026-01-27,1,730,Strength
1005,Member_5,2026-01-06,1,537,Crossfit
1005,Member_5,2026-01-10,1,620,Zumba
1005,Member_5,2026-01-05,1,759,Zumba
1006,Member_6,2026-02-14,1,713,Zumba
1006,Member_6,2026-02-19,1,725,Cardio
1006,Member_6,2026-01-19,1,476,Yoga
1006,Member_6,2026-01-06,1,693,Zumba
1006,Member_6,2026-01-10,1,703,Strength
1006,Member_6,2026-02-16,1,752,Crossfit
1007,Member_7,2026-02-05,1,583,Zumba
1007,Member_7,2026-02-17,1,732,Zumba
1007,Member_7,2026-03-01,1,785,Strength
1007,Member_7,2026-02-06,1,710,Crossfit
1007,Member_7,2026-01-15,1,775,Yoga
1007,Member_7,2026-02-10,1,453,Crossfit
1007,Member_7,2026-02-08,1,578,Cardio
1007,Member_7,2026-01-01,1,498,Crossfit
1007,Member_7,2026-01-12,1,746,Crossfit
1008,Member_8,2026-01-01,1,335,Cardio
